time,target_id,name,truth,label,FR,AC,ST,FO,Theta,Delta_H1,Delta_V,Delta_C,Delta_H2,window_size,mean_conflict
562,8,IFF-AC-Return-2,Ally2,AC,0.023929495453779915,0.9730781987823924,0.0006714663639638016,0.0005939906597335955,0.001726848740130307,0.0,6.360000000000014,4.589999999999975,,3,0.23766959737805693
562,9,IFF-ST-Return-3,Ally3,AC,0.11347660672989351,0.8597875093016505,0.021890515901132692,0.0016917148854521875,0.003153653181871027,14.0,18.600000000000023,3.160000000000025,,3,0.27388728293959236
563,0,T1(BGM-109C),,FO,0.0005746099968253123,0.0005799471491021634,0.02337531543360591,0.9737773113879276,0.0016928160325389804,107.0,256.79999999999995,83.81,,3,0.234763835143417
563,1,T2(AGM-86B),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,142.0,232.32000000000005,92.56,,3,0.234171543343049
563,2,T3(AH-64A),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3545.0,134.88,145.13,,3,0.234171543343049
563,3,T4(F-16C),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3800.0,1174.8,77.70999999999998,,3,0.234171543343049
563,4,T5(F-22),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,4200.0,1664.4,159.97,,3,0.234171543343049
563,5,T6(B-52H),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,3500.0,281.28,72.98000000000002,,3,0.234171543343049
563,6,T7(MQ-9),,FO,0.0005706315400073132,0.0005759333621123345,0.022998180588232175,0.9741759760691049,0.0016792784405433483,7500.0,208.32,136.76999999999998,,3,0.234171543343049
563,7,IFF-FR-Return-1,Ally1,FR,0.9678676585457188,0.028949552493776533,0.0007596277890663949,0.0006494329071304176,0.0017737282643079083,12.0,8.327999999999975,0.910000000000025,,3,0.23839592924824352
563,8,IFF-AC-Return-2,Ally2,AC,0.024038996524579522,0.9729562163655451,0.0006887874012097747,0.0005948919998944371,0.0017211077087710953,1.0,6.360000000000014,4.560000000000002,,3,0.23803614470985887
